Код,Быстрый выбор,Наименование,Заб.,Акт.,Вал.,Кол.,Подр.,НУ
42,42,Торговая наценка,Нет ,П,Нет ,Нет ,Нет ,Да 
42.01,4201,Торговая наценка в автоматизированных торговых точках,Нет ,П,Нет ,Нет ,Нет ,Да 
42.02,4202,Торговая наценка в неавтоматизированных торговых точках,Нет ,П,Нет ,Нет ,Нет ,Да 
43,43,Готовая продукция,Нет ,А,Нет ,Да ,Нет ,Да 
44,44,Расходы на продажу,Нет ,А,Нет ,Нет ,Нет ,Да 
44.01,4401,"Издержки обращения в организациях, осуществляющих торговую деятельность",Нет ,А,Нет ,Нет ,Нет ,Да 
44.02,4402,"Коммерческие расходы в организациях, осуществляющих промышленную и иную производственную деятельность",Нет ,А,Нет ,Нет ,Нет ,Да 
45,45,Товары отгруженные,Нет ,А,Нет ,Да ,Нет ,Да 
45.01,4501,Покупные товары отгруженные,Нет ,А,Нет ,Да ,Нет ,Да 
45.02,4502,Готовая продукция отгруженная,Нет ,А,Нет ,Да ,Нет ,Да 
45.03,4503,Прочие товары отгруженные,Нет ,А,Нет ,Да ,Нет ,Да 
45.04,4504,Переданные объекты недвижимости,Нет ,А,Нет ,Нет ,Нет ,Да 
46,46,Выполненные этапы по незавершенным работам,Нет ,А,Нет ,Нет ,Нет ,Нет 
50,50,Касса,Нет ,А,Нет ,Нет ,Нет ,Нет 
50.01,5001,Касса организации,Нет ,А,Нет ,Нет ,Нет ,Нет 
50.02,5002,Операционная касса,Нет ,А,Нет ,Нет ,Нет ,Нет 
50.03,5003,Денежные документы,Нет ,А,Нет ,Да ,Нет ,Нет 
50.04,5004,Касса по деятельности платежного агента,Нет ,А,Нет ,Нет ,Нет ,Нет 
50.21,5021,Касса организации (в валюте),Нет ,А,Да ,Нет ,Нет ,Нет 
50.23,5023,Денежные документы (в валюте),Нет ,А,Да ,Да ,Нет ,Нет 
51,51,Расчетные счета,Нет ,А,Нет ,Нет ,Нет ,Нет 
52,52,Валютные счета,Нет ,А,Да ,Нет ,Нет ,Нет 
55,55,Специальные счета в банках,Нет ,А,Нет ,Нет ,Нет ,Нет 
55.01,5501,Аккредитивы,Нет ,А,Нет ,Нет ,Нет ,Нет 
55.02,5502,Чековые книжки,Нет ,А,Нет ,Нет ,Нет ,Нет 
55.03,5503,Депозитные счета,Нет ,А,Нет ,Нет ,Нет ,Нет 
55.04,5504,Прочие специальные счета,Нет ,А,Нет ,Нет ,Нет ,Нет 
55.21,5521,Аккредитивы (в валюте),Нет ,А,Да ,Нет ,Нет ,Нет 
55.23,5523,Депозитные счета (в валюте),Нет ,А,Да ,Нет ,Нет ,Нет 
55.24,5524,Прочие специальные счета (в валюте),Нет ,А,Да ,Нет ,Нет ,Нет 
57,57,Переводы в пути,Нет ,А,Нет ,Нет ,Нет ,Да 
57.01,5701,Переводы в пути,Нет ,А,Нет ,Нет ,Нет ,Нет 
57.02,5702,Приобретение иностранной валюты,Нет ,А,Нет ,Нет ,Нет ,Нет 
57.03,5703,Продажи по платежным картам,Нет ,А,Нет ,Нет ,Нет ,Да 
57.21,5721,Переводы в пути (в валюте),Нет ,А,Да ,Нет ,Нет ,Нет 
57.22,5722,Реализация иностранной валюты,Нет ,А,Да ,Нет ,Нет ,Нет 
58,58,Финансовые вложения,Нет ,А,Нет ,Нет ,Нет ,Да 
58.01,5801,Паи и акции,Нет ,А,Нет ,Нет ,Нет ,Да 
58.01.1,58011,Паи,Нет ,А,Нет ,Нет ,Нет ,Да 
58.01.2,58012,Акции,Нет ,А,Нет ,Да ,Нет ,Да 
58.02,5802,Долговые ценные бумаги,Нет ,А,Нет ,Да ,Нет ,Да 
58.03,5803,Предоставленные займы,Нет ,А,Нет ,Нет ,Нет ,Да 
58.04,5804,Вклады по договору простого товарищества,Нет ,А,Нет ,Нет ,Нет ,Да 
58.05,5805,Приобретенные права в рамках оказания финансовых услуг,Нет ,А,Нет ,Нет ,Нет ,Да 
59,59,Резервы под обесценение финансовых вложений,Нет ,П,Нет ,Нет ,Нет ,Да 
60,60,Расчеты с поставщиками и подрядчиками,Нет ,АП,Нет ,Нет ,Нет ,Да 
60.01,6001,Расчеты с поставщиками и подрядчиками,Нет ,П,Нет ,Нет ,Нет ,Да 
60.02,6002,Расчеты по авансам выданным,Нет ,А,Нет ,Нет ,Нет ,Да 
60.03,6003,Векселя выданные,Нет ,П,Нет ,Нет ,Нет ,Да 
60.21,6021,Расчеты с поставщиками и подрядчиками (в валюте),Нет ,П,Да ,Нет ,Нет ,Да 
60.22,6022,Расчеты по авансам выданным (в валюте),Нет ,А,Да ,Нет ,Нет ,Да 
60.31,6031,Расчеты с поставщиками и подрядчиками (в у.е.),Нет ,П,Да ,Нет ,Нет ,Да 
60.32,6032,Расчеты по авансам выданным (в у.е.),Нет ,А,Да ,Нет ,Нет ,Да 
62,62,Расчеты с покупателями и заказчиками,Нет ,АП,Нет ,Нет ,Нет ,Да 
62.01,6201,Расчеты с покупателями и заказчиками,Нет ,А,Нет ,Нет ,Нет ,Да 
62.02,6202,Расчеты по авансам полученным,Нет ,П,Нет ,Нет ,Нет ,Да 
62.03,6203,Векселя полученные,Нет ,А,Нет ,Нет ,Нет ,Да 
62.21,6221,Расчеты с покупателями и заказчиками (в валюте),Нет ,А,Да ,Нет ,Нет ,Да 
62.22,6222,Расчеты по авансам полученным (в валюте),Нет ,П,Да ,Нет ,Нет ,Да 
62.31,6231,Расчеты с покупателями и заказчиками (в у.е.),Нет ,А,Да ,Нет ,Нет ,Да 
62.32,6232,Расчеты по авансам полученным (в у.е.),Нет ,П,Да ,Нет ,Нет ,Да 
62.Р,62Р,Расчеты с розничными покупателями,Нет ,А,Нет ,Нет ,Нет ,Да 
63,63,Резервы по сомнительным долгам,Нет ,П,Нет ,Нет ,Нет ,Да 
66,66,Расчеты по краткосрочным кредитам и займам,Нет ,П,Нет ,Нет ,Нет ,Да 
66.01,6601,Краткосрочные кредиты,Нет ,П,Нет ,Нет ,Нет ,Да 
66.02,6602,Проценты по краткосрочным кредитам,Нет ,П,Нет ,Нет ,Нет ,Да 
66.03,6603,Краткосрочные займы,Нет ,П,Нет ,Нет ,Нет ,Да 
66.04,6604,Проценты по краткосрочным займам,Нет ,П,Нет ,Нет ,Нет ,Да 
66.21,6621,Краткосрочные кредиты (в валюте),Нет ,П,Да ,Нет ,Нет ,Да 
66.22,6622,Проценты по краткосрочным кредитам (в валюте),Нет ,П,Да ,Нет ,Нет ,Да 
66.23,6623,Краткосрочные займы (в валюте),Нет ,П,Да ,Нет ,Нет ,Да 
66.24,6624,Проценты по краткосрочным займам (в валюте),Нет ,П,Да ,Нет ,Нет ,Да 
67,67,Расчеты по долгосрочным кредитам и займам,Нет ,П,Нет ,Нет ,Нет ,Да 
67.01,6701,Долгосрочные кредиты,Нет ,П,Нет ,Нет ,Нет ,Да 
67.02,6702,Проценты по долгосрочным кредитам,Нет ,П,Нет ,Нет ,Нет ,Да 
67.03,6703,Долгосрочные займы,Нет ,П,Нет ,Нет ,Нет ,Да 
67.04,6704,Проценты по долгосрочным займам,Нет ,П,Нет ,Нет ,Нет ,Да 
67.21,6721,Долгосрочные кредиты (в валюте),Нет ,П,Да ,Нет ,Нет ,Да 
67.22,6722,Проценты по долгосрочным кредитам (в валюте),Нет ,П,Да ,Нет ,Нет ,Да 
67.23,6723,Долгосрочные займы (в валюте),Нет ,П,Да ,Нет ,Нет ,Да 
67.24,6724,Проценты по долгосрочным займам (в валюте),Нет ,П,Да ,Нет ,Нет ,Да 
68,68,Расчеты по налогам и сборам,Нет ,АП,Нет ,Нет ,Нет ,Нет 
68.01,6801,Налог на доходы физических лиц,Нет ,АП,Нет ,Нет ,Нет ,Нет 
68.02,6802,Налог на добавленную стоимость,Нет ,АП,Нет ,Нет ,Нет ,Нет 
68.03,6803,Акцизы,Нет ,АП,Нет ,Нет ,Нет ,Нет 
68.04,6804,Налог на прибыль,Нет ,АП,Нет ,Нет ,Нет ,Нет 
68.04.1,68041,Расчеты с бюджетом,Нет ,АП,Нет ,Нет ,Нет ,Нет 
68.04.2,68042,Расчет налога на прибыль,Нет ,АП,Нет ,Нет ,Нет ,Нет 
68.07,6807,Транспортный налог,Нет ,АП,Нет ,Нет ,Нет ,Нет 
68.08,6808,Налог на имущество,Нет ,АП,Нет ,Нет ,Нет ,Нет 
68.09,6809,Налог на рекламу,Нет ,АП,Нет ,Нет ,Нет ,Нет 
68.10,6810,Прочие налоги и сборы,Нет ,АП,Нет ,Нет ,Нет ,Нет 
68.11,6811,Единый налог на вмененный доход,Нет ,АП,Нет ,Нет ,Нет ,Нет 
68.12,6812,Единый налог при применении упрощенной системы налогообложения,Нет ,АП,Нет ,Нет ,Нет ,Нет 
68.22,6822,НДС по экспорту к возмещению,Нет ,А,Нет ,Нет ,Нет ,Нет 
68.32,6832,НДС при исполнении обязанностей налогового агента,Нет ,П,Нет ,Нет ,Нет ,Нет 
69,69,Расчеты по социальному страхованию и обеспечению,Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.01,6901,Расчеты по социальному страхованию,Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.02,6902,Расчеты по пенсионному обеспечению,Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.02.1,69021,Страховая часть трудовой пенсии,Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.02.2,69022,Накопительная часть трудовой пенсии,Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.02.3,69023,Взносы на доплату к пенсии членам летных экипажей,Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.02.4,69024,Взносы на доплату к пенсии работникам организаций угольной промышленности,Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.02.5,69025,"Дополнительные взносы на страховую часть пенсии работникам, занятым на работах с вредными условиями труда",Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.02.6,69026,"Дополнительные взносы на страховую часть пенсии работникам, занятым на работах с тяжелыми условиями труда",Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.02.7,69027,Обязательное пенсионное страхование,Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.03,6903,Расчеты по обязательному медицинскому страхованию,Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.03.1,69031,Федеральный фонд ОМС,Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.03.2,69032,Территориальный фонд ОМС,Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.04,6904,"ЕСН в части, перечисляемой в Федеральный бюджет",Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.05,6905,Добровольные взносы на накопительную часть трудовой пенсии,Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.05.1,69051,Взносы за счет работодателя,Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.05.2,69052,"Взносы, удерживаемые из доходов работника",Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.06,6906,"Расчеты по страховым взносам, уплачиваемым исходя из стоимости страхового года",Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.06.1,69061,Взносы в ПФР (страховая часть),Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.06.2,69062,Взносы в ПФР (накопительная часть),Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.06.3,69063,Взносы в ФОМС,Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.06.4,69064,Взносы в ФСС,Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.06.5,69065,Обязательное пенсионное страхование предпринимателя,Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.11,6911,Расчеты по обязательному социальному страхованию от несчастных случаев на производстве и профессиональных заболеваний,Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.12,6912,Расчеты по добровольным взносам в ФСС на страхование работников на случай временной нетрудоспособности,Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.13,6913,"Расчеты по средствам ФСС для страхователей, применяющих специальные режимы налогообложения",Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.13.1,69131,"Расчеты по средствам ФСС для страхователей, уплачивающих ЕНВД",Нет ,АП,Нет ,Нет ,Нет ,Нет 
69.13.2,69132,"Расчеты по средствам ФСС для страхователей, применяющих УСН",Нет ,АП,Нет ,Нет ,Нет ,Нет 
70,70,Расчеты с персоналом по оплате труда,Нет ,П,Нет ,Нет ,Нет ,Да 
71,71,Расчеты с подотчетными лицами,Нет ,АП,Нет ,Нет ,Нет ,Да 
71.01,7101,Расчеты с подотчетными лицами,Нет ,АП,Нет ,Нет ,Нет ,Да 
71.21,7121,Расчеты с подотчетными лицами (в валюте),Нет ,АП,Да ,Нет ,Нет ,Да 
73,73,Расчеты с персоналом по прочим операциям,Нет ,АП,Нет ,Нет ,Нет ,Да 
73.01,7301,Расчеты по предоставленным займам,Нет ,А,Нет ,Нет ,Нет ,Да 
73.02,7302,Расчеты по возмещению материального ущерба,Нет ,А,Нет ,Нет ,Нет ,Да 
73.03,7303,Расчеты по прочим операциям,Нет ,АП,Нет ,Нет ,Нет ,Да 
75,75,Расчеты с учредителями,Нет ,АП,Нет ,Нет ,Нет ,Нет 
75.01,7501,Расчеты по вкладам в уставный (складочный) капитал,Нет ,А,Нет ,Нет ,Нет ,Нет 
75.02,7502,Расчеты по выплате доходов,Нет ,П,Нет ,Нет ,Нет ,Нет 
76,76,Расчеты с разными дебиторами и кредиторами,Нет ,АП,Нет ,Нет ,Нет ,Да 
76.01,7601,"Расчеты по имущественному, личному и добровольному страхованию",Нет ,АП,Нет ,Нет ,Нет ,Да 
76.01.1,76011,Расчеты по имущественному и личному страхованию,Нет ,АП,Нет ,Нет ,Нет ,Да 
76.01.2,76012,Платежи (взносы) по добровольному страхованию на случай смерти и причинения вреда здоровью,Нет ,АП,Нет ,Нет ,Да ,Да 
76.01.9,76019,Платежи (взносы) по прочим видам страхования,Нет ,АП,Нет ,Нет ,Да ,Да 
76.02,7602,Расчеты по претензиям,Нет ,А,Нет ,Нет ,Нет ,Да 
76.03,7603,Расчеты по причитающимся дивидендам и другим доходам,Нет ,АП,Нет ,Нет ,Нет ,Да 
76.04,7604,Расчеты по депонированным суммам,Нет ,П,Нет ,Нет ,Нет ,Да 
76.05,7605,Расчеты с прочими поставщиками и подрядчиками,Нет ,АП,Нет ,Нет ,Нет ,Да 
76.06,7606,Расчеты с прочими покупателями и заказчиками,Нет ,АП,Нет ,Нет ,Нет ,Да 
76.09,7609,Прочие расчеты с разными дебиторами и кредиторами,Нет ,АП,Нет ,Нет ,Нет ,Да 
76.21,7621,Расчеты по имущественному и личному страхованию (в валюте),Нет ,АП,Да ,Нет ,Нет ,Да 
76.22,7622,Расчеты по претензиям (в валюте),Нет ,А,Да ,Нет ,Нет ,Да 
76.25,7625,Расчеты с прочими поставщиками и подрядчиками (в валюте),Нет ,АП,Да ,Нет ,Нет ,Да 
76.26,7626,Расчеты с прочими покупателями и заказчиками (в валюте),Нет ,АП,Да ,Нет ,Нет ,Да 
76.29,7629,Прочие расчеты с разными дебиторами и кредиторами (в валюте),Нет ,АП,Да ,Нет ,Нет ,Да 
76.32,7632,Расчеты по претензиям (в у.е.),Нет ,А,Да ,Нет ,Нет ,Да 
76.35,7635,Расчеты с прочими поставщиками и подрядчиками (в у.е.),Нет ,АП,Да ,Нет ,Нет ,Да 
76.36,7636,Расчеты с прочими покупателями и заказчиками (в у.е.),Нет ,АП,Да ,Нет ,Нет ,Да 
76.39,7639,Прочие расчеты с разными дебиторами и кредиторами (в у.е.),Нет ,АП,Да ,Нет ,Нет ,Да 
76.41,7641,Расчеты по исполнительным документам работников,Нет ,АП,Нет ,Нет ,Нет ,Да 
76.АВ,76АВ,НДС по авансам и предоплатам,Нет ,А,Нет ,Нет ,Нет ,Нет 
76.ВА,76ВА,НДС по авансам и предоплатам выданным,Нет ,П,Нет ,Нет ,Нет ,Нет 
76.К,76К,Корректировка расчетов прошлого периода,Нет ,АП,Нет ,Нет ,Нет ,Да 
76.Н,76Н,"Расчеты по НДС, отложенному для уплаты в бюджет",Нет ,П,Нет ,Нет ,Нет ,Нет 
76.НА,76НА,Расчеты по НДС при исполнении обязанностей налогового агента,Нет ,АП,Нет ,Нет ,Нет ,Нет 
76.ОТ,76ОТ,"НДС, начисленный по отгрузке",Нет ,А,Нет ,Нет ,Нет ,Нет 
77,77,Отложенные налоговые обязательства,Нет ,П,Нет ,Нет ,Нет ,Нет 
79,79,Внутрихозяйственные расчеты,Нет ,АП,Нет ,Нет ,Нет ,Нет 
79.01,7901,Расчеты по выделенному имуществу,Нет ,АП,Нет ,Нет ,Нет ,Нет 
79.02,7902,Расчеты по текущим операциям,Нет ,АП,Нет ,Нет ,Нет ,Нет 
79.03,7903,Расчеты по договору доверительного управления имуществом,Нет ,АП,Нет ,Нет ,Нет ,Нет 
80,80,Уставный капитал,Нет ,П,Нет ,Да ,Нет ,Нет 
80.01,8001,Обыкновенные акции,Нет ,П,Нет ,Да ,Нет ,Нет 
80.02,8002,Привилегированные акции,Нет ,П,Нет ,Да ,Нет ,Нет 
80.09,8009,Прочий капитал,Нет ,П,Нет ,Нет ,Нет ,Нет 
81,81,Собственные акции (доли),Нет ,А,Нет ,Да ,Нет ,Нет 
81.01,8101,Обыкновенные акции,Нет ,А,Нет ,Да ,Нет ,Нет 
81.02,8102,Привилегированные акции,Нет ,А,Нет ,Да ,Нет ,Нет 
81.09,8109,Прочий капитал,Нет ,А,Нет ,Нет ,Нет ,Нет 
82,82,Резервный капитал,Нет ,П,Нет ,Нет ,Нет ,Нет 
82.01,8201,"Резервы, образованные в соответствии с законодательством",Нет ,П,Нет ,Нет ,Нет ,Нет 
82.02,8202,"Резервы, образованные в соответствии с учредительными документами",Нет ,П,Нет ,Нет ,Нет ,Нет 
83,83,Добавочный капитал,Нет ,П,Нет ,Нет ,Нет ,Нет 
83.01,8301,Прирост стоимости внеоборотных активов по переоценке,Нет ,П,Нет ,Нет ,Нет ,Нет 
83.01.1,83011,Прирост стоимости основных средств,Нет ,П,Нет ,Нет ,Нет ,Нет 
83.01.2,83012,Прирост стоимости нематериальных активов,Нет ,П,Нет ,Нет ,Нет ,Нет 
83.01.3,83013,Прирост стоимости прочих внеоборотных активов,Нет ,П,Нет ,Нет ,Нет ,Нет 
83.02,8302,Эмиссионный доход от выпуска обыкновенных акций,Нет ,П,Нет ,Нет ,Нет ,Нет 
83.03,8303,Эмиссионный доход от выпуска привилегированных акций,Нет ,П,Нет ,Нет ,Нет ,Нет 
83.09,8309,Другие источники,Нет ,П,Нет ,Нет ,Нет ,Нет 
84,84,Нераспределенная прибыль (непокрытый убыток),Нет ,АП,Нет ,Нет ,Нет ,Нет 
84.01,8401,"Прибыль, подлежащая распределению",Нет ,АП,Нет ,Нет ,Нет ,Нет 
84.02,8402,"Убыток, подлежащий покрытию",Нет ,АП,Нет ,Нет ,Нет ,Нет 
84.03,8403,Нераспределенная прибыль в обращении,Нет ,АП,Нет ,Нет ,Нет ,Нет 
84.04,8404,Нераспределенная прибыль использованная,Нет ,АП,Нет ,Нет ,Нет ,Нет 
86,86,Целевое финансирование,Нет ,АП,Нет ,Нет ,Нет ,Да 
86.01,8601,Целевое финансирование из бюджета,Нет ,АП,Нет ,Нет ,Нет ,Да 
86.02,8602,Прочее целевое финансирование и поступления,Нет ,АП,Нет ,Нет ,Нет ,Да 
90,90,Продажи,Нет ,АП,Нет ,Нет ,Нет ,Да 
90.01,9001,Выручка,Нет ,П,Нет ,Нет ,Нет ,Да 
90.01.1,90011,Выручка по деятельности с основной системой налогообложения,Нет ,П,Нет ,Да ,Нет ,Да 
90.01.2,90012,Выручка по отдельным видам деятельности с особым порядком налогообложения,Нет ,П,Нет ,Да ,Нет ,Да 
90.02,9002,Себестоимость продаж,Нет ,А,Нет ,Нет ,Нет ,Да 
